s;tetrofile=/res/tetros.txt;blockSize=40
p;x=2;y=10
t;x=0;y=8;r=3;t=0
t;x=1;y=8;r=3;t=0
t;x=2;y=8;r=3;t=0
<<<<<<< HEAD
t;x=5;y=8;r=0;t=1
t;x=14;y=1;r=3;t=1
t;x=15;y=1;r=2;t=2
t;x=14;y=6;r=0;t=2
t;x=15;y=7;r=3;t=4
t;x=0;y=11;r=3;t=4
t;x=4;y=13;r=3;t=4
t;x=24;y=11;r=0;t=5
t;x=24;y=11;r=0;t=5
t;x=24;y=11;r=0;t=5
t;x=24;y=11;r=0;t=5
w;11111111111111111111111111111
w;00110000000000000000000010001
w;00100000000000000000001000001
w;00100100000000000000000010001
w;00101000000000000000001000001
w;00110000000000000000000010001
w;00100000000!00000000001000001
w;00100000000000000000000010001
w;00000000000000000000001000001
w;00100000000000010000000010001
w;00100000000000000100000000001
w;00100000000000000001000000001
w;00100000000000000000000000001
w;00100000000000000001000000001
w;00100000000000000000000000001
w;00100000000000000001000000001

