s;tetrofile=/res/tetros.txt;blockSize=45
p;x=18;y=11
t;x=17;y=4;r=0;t=0
t;x=17;y=5;r=0;t=0
t;x=17;y=6;r=0;t=0
t;x=17;y=7;r=0;t=0
t;x=17;y=8;r=0;t=0
t;x=17;y=9;r=0;t=0
t;x=17;y=10;r=0;t=0
t;x=17;y=11;r=0;t=0
t;x=17;y=12;r=0;t=0
t;x=18;y=7;r=0;t=6
t;x=15;y=10;r=0;t=0
t;x=15;y=11;r=0;t=0
t;x=15;y=12;r=0;t=0
t;x=15;y=13;r=0;t=0
t;x=15;y=5;r=3;t=0
d;x=16;y=9;r=0;c=0;o=true
d;x=19;y=9;r=0;c=0;o=false
w;11111111111111111111111111111
w;00110000000000000000000010001
w;00100000000000000000001000001
w;00100100000000000000000010001
w;00101000000000000000001000001
w;00110000000000000000000010001
w;00100000000000000à00001000001
w;00100000000000000000000010001
w;00000000000000000000001000001
w;0010000000000001D11D111110001
w;00100000000000000000000000001
w;00100000000000000001000000001
w;00100000000000000000000000001
w;00100000000000000001000000001
w;00100000000000000000000000001
w;00100000000000000001000000001
